"Listing Id","Listing Name","Page Name","Amount Per Stay"
1316903,"Hyatt Centric The Loop Chicago","hyatt-centric-the-loop-chicago",""
1629853,"Kimpton Gray Hotel Chicago by IHG","kimpton-the-gray-chicago1","₹ 21,197.17"
59369,"Central Loop Hotel","c-l-chicago-illinois",""
56065,"Club Quarters Hotel Central Loop, Chicago","club-quarters-central-loop",""
1468451,"Residence Inn by Marriott Chicago Downtown/Loop","residence-inn-by-marriott-chicago-downtown-loop",""
7736033,"The LaSalle Chicago, Autograph Collection by Marriott","the-lasalle-chicago-autograph-collection",""
28801,"The Palmer House Hilton","the-palmer-house",""
56896,"The Midland Hotel, Chicago, a Tribute Portfolio Hotel","w-chicago-city-center",""
284261,"JW Marriott Chicago","jw-marriott-chicago",""
45479,"Staypineapple, An Iconic Hotel, The Loop","staypineapple-the-loop",""
56368,"Silversmith Hotel Chicago Downtown","the-silversmith",""
7121006,"Sonder Jewelers Row","sonder-at-jewelers-row",""
400626,"La Quinta by Wyndham Chicago Downtown","la-quinta-inn-chicago",""
7587822,"Hilton Garden Inn- Chicago Central Loop","hilton-garden-inn-chicago-central-loop-il",""
7587739,"Canopy By Hilton Chicago Central Loop","canopy-by-hilton-chicago-central-loop",""
1334658,"Chicago Athletic Association, part of Hyatt","chicago-athletic-association",""
4046046,"Sonder The Plymouth","the-plymouth-premier-suites-by-sonder",""
2173807,"Cambria Hotel Chicago Loop - Theatre District","cambria-suites",""
1353133,"Hyatt Place Chicago/Downtown - The Loop","hyatt-place-chicago-47-downtown-the-loop",""
182592,"The Buckingham Hotel","the-buckingham-athletic-club",""
55916,"The Allegro Royal Sonesta Hotel Chicago Loop","allegro-chicago",""
56130,"HI Chicago Hostel","hostelling-international-chicago",""
182226,"theWit Chicago, a Hilton Hotel","thewit-a-doubletree",""
3961606,"Arlo Chicago","julian-chicago-chicago1","₹ 22,992.09"
180799,"Renaissance Chicago Downtown Hotel","renaissance-chicago",""
1250112,"Virgin Hotels Chicago","virgin-hotels-chicago-chicago","₹ 20,513.39"
56244,"Congress Plaza Hotel Chicago","congress-plaza","₹ 14,444.85"
45478,"L7 Chicago by LOTTE","monaco-chicago",""
59243,"Travelodge by Wyndham Downtown Chicago","chicago-t",""
1338434,"Hampton Inn Chicago Downtown/N Loop/Michigan Ave","hampton-inn-chicago-downtown-n-loop-michigan-ave",""
7034225,"Pendry Chicago","pendry-chicago",""
1393605,"Hilton Garden Inn Chicago Downtown Riverwalk","hilton-garden-inn-chicago-downtown-north-loop",""
8758697,"citizenM Chicago Downtown","citizenm-chicago-downtown","₹ 11,795.20"
13714416,"STUDIO in vivid South Loop close to the Grant Park","studio-in-vivid-south-loop-close-to-the-grant-park",""
44642,"The Royal Sonesta Chicago Downtown","royal-sonesta-chicago-riverfront",""
57568,"The Westin Chicago River North","chicago-river-north-chicago-illinois",""
45495,"River Hotel","the-chicago-river",""
56061,"Club Quarters Hotel Wacker at Michigan, Chicago","club-quarters-wacker-at-michigan",""
59964,"Hotel Chicago Downtown, Autograph Collection","hotel-chicago-downtown",""
24730,"The Blackstone, Autograph Collection","the-blackstone-a-renaissance",""
506393,"The Langham Chicago","the-langham-chicago",""
1646995,"LondonHouse Chicago, Curio Collection by Hilton","londonhouse-chicago-curio-collection-by-hilton",""
55881,"Kinzie Hotel","amalfi-chicago","₹ 17,521.86"
29734,"Hilton Chicago","hilton-chicago",""
295661,"Trump International Hotel & Tower Chicago","trump-international-tower-chicago",""
23175,"Fairmont Chicago Millennium Park","the-fairmont",""
10795879,"Sonder The Burnham","sonder-the-burnham",""
265315,"Residence Inn by Marriott Chicago Downtown/River North","residence-inn-chicago-downtown-river-north",""
265312,"SpringHill Suites Chicago Downtown/River North","springhill-suites-chicago-downtown-river-north",""
181867,"Holiday Inn Hotel & Suites Chicago - Downtown by IHG","holiday-inn-chicago",""
